                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.35381,                0.69231,                      1,                0.86926,             0.00062211,             0.00062211,             0.00062211
                     68,                0.30229,                0.67308,                      1,                0.89651,             0.00062069,             0.00062069,             0.00062069
                     69,                0.29018,                0.68269,                      1,                0.87129,             0.00061928,             0.00061928,             0.00061928
                     70,                0.30301,                0.67308,                      1,                0.86457,             0.00061787,             0.00061787,             0.00061787
                     71,                0.24343,                0.67308,                      1,                0.88137,             0.00061645,             0.00061645,             0.00061645
                     72,                0.27974,                0.71154,                      1,                0.80737,             0.00061504,             0.00061504,             0.00061504
                     73,                0.28606,                0.69231,                      1,                0.85321,             0.00061363,             0.00061363,             0.00061363
                     74,                0.23814,                0.70192,                      1,                0.82291,             0.00061221,             0.00061221,             0.00061221
                     75,                0.27534,                0.65385,                      1,                0.84643,              0.0006108,              0.0006108,              0.0006108
                     76,                0.26052,                0.65385,                      1,                0.86455,             0.00060938,             0.00060938,             0.00060938
                     77,                0.25413,                0.66346,                      1,                 0.8889,             0.00060797,             0.00060797,             0.00060797
                     78,                0.33248,                0.65385,                      1,                0.85634,             0.00060656,             0.00060656,             0.00060656
                     79,                0.30686,                0.69231,                      1,                0.81925,             0.00060514,             0.00060514,             0.00060514
                     80,                0.27737,                0.68269,                      1,                0.87179,             0.00060373,             0.00060373,             0.00060373
                     81,                0.26337,                0.68269,                      1,                0.83862,             0.00060232,             0.00060232,             0.00060232
                     82,                0.26357,                0.71154,                      1,                0.86646,              0.0006009,              0.0006009,              0.0006009
                     83,                0.27347,                0.66346,                      1,                0.83039,             0.00059949,             0.00059949,             0.00059949
                     84,                0.24868,                0.71154,                      1,                0.83397,             0.00059807,             0.00059807,             0.00059807
                     85,                0.31302,                0.73077,                      1,                0.79726,             0.00059666,             0.00059666,             0.00059666
                     86,                0.26102,                0.72115,                      1,                0.79266,             0.00059525,             0.00059525,             0.00059525
                     87,                0.28161,                0.71154,                      1,                0.81035,             0.00059383,             0.00059383,             0.00059383
                     88,                0.28084,                0.72115,                      1,                0.79626,             0.00059242,             0.00059242,             0.00059242
                     89,                0.30842,                0.71154,                      1,                0.86492,             0.00059101,             0.00059101,             0.00059101
                     90,                0.26483,                0.71154,                      1,                0.83912,             0.00058959,             0.00058959,             0.00058959
                     91,                0.22651,                0.71154,                      1,                0.82571,             0.00058818,             0.00058818,             0.00058818
                     92,                0.30856,                0.70192,                      1,                0.79328,             0.00058677,             0.00058677,             0.00058677
                     93,                 0.3184,                0.69231,                      1,                0.83867,             0.00058535,             0.00058535,             0.00058535
                     94,                0.19893,                0.66346,                      1,                0.86031,             0.00058394,             0.00058394,             0.00058394
                     95,                0.30604,                0.68269,                      1,                0.82032,             0.00058252,             0.00058252,             0.00058252
                     96,                0.22584,                0.69231,                      1,                0.83057,             0.00058111,             0.00058111,             0.00058111
                     97,                0.23834,                0.72115,                      1,                0.84027,              0.0005797,              0.0005797,              0.0005797
                     98,                0.27449,                0.69231,                      1,                0.79078,             0.00057828,             0.00057828,             0.00057828
                     99,                0.26537,                0.71154,                      1,                0.82393,             0.00057687,             0.00057687,             0.00057687
                    100,                0.27453,                0.71154,                      1,                0.85017,             0.00057546,             0.00057546,             0.00057546
                    101,                0.24497,                0.73077,                      1,                0.82729,             0.00057404,             0.00057404,             0.00057404
                    102,                0.30392,                0.67308,                      1,                0.86121,             0.00057263,             0.00057263,             0.00057263
                    103,                0.26913,                0.68269,                      1,                0.84896,             0.00057121,             0.00057121,             0.00057121
                    104,                0.28668,                0.67308,                      1,                0.89203,              0.0005698,              0.0005698,              0.0005698
                    105,                0.24533,                0.70192,                      1,                0.84134,             0.00056839,             0.00056839,             0.00056839
                    106,                 0.3731,                0.72115,                      1,                0.82142,             0.00056697,             0.00056697,             0.00056697
                    107,                0.23668,                0.70192,                      1,                0.86747,             0.00056556,             0.00056556,             0.00056556
