                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.47867,                0.94231,                      1,                0.62393,              4.284e-05,              4.284e-05,              4.284e-05
                      2,                 0.4911,                0.94231,                      1,                0.62512,             9.2636e-05,             9.2636e-05,             9.2636e-05
                      3,                0.45325,                0.93269,                      1,                0.62703,             0.00014223,             0.00014223,             0.00014223
                      4,                0.33842,                0.93269,                      1,                0.62911,             0.00019163,             0.00019163,             0.00019163
                      5,                0.34706,                0.90385,                      1,                0.63956,             0.00024084,             0.00024084,             0.00024084
                      6,                0.28719,                0.89423,                      1,                0.64554,             0.00028984,             0.00028984,             0.00028984
                      7,                0.28092,                0.90385,                      1,                0.66094,             0.00033865,             0.00033865,             0.00033865
                      8,                0.26614,                0.88462,                      1,                0.67168,             0.00038726,             0.00038726,             0.00038726
                      9,                0.23952,                0.86538,                      1,                0.68005,             0.00043567,             0.00043567,             0.00043567
                     10,                0.29134,                  0.875,                      1,                0.67747,             0.00048388,             0.00048388,             0.00048388
                     11,                0.26349,                0.86538,                      1,                 0.6745,              0.0005319,              0.0005319,              0.0005319
                     12,                0.21086,                0.88462,                      1,                0.66834,             0.00057971,             0.00057971,             0.00057971
                     13,                0.22931,                  0.875,                      1,                0.67456,             0.00062733,             0.00062733,             0.00062733
                     14,                0.25087,                  0.875,                      1,                0.67119,             0.00067475,             0.00067475,             0.00067475
                     15,                0.22563,                0.86538,                      1,                0.68687,             0.00069421,             0.00069421,             0.00069421
                     16,                0.22065,                0.86538,                      1,                0.68457,             0.00069421,             0.00069421,             0.00069421
                     17,                0.18506,                  0.875,                      1,                0.67723,             0.00069279,             0.00069279,             0.00069279
                     18,                0.27275,                  0.875,                      1,                0.67687,             0.00069138,             0.00069138,             0.00069138
                     19,                0.23337,                0.84615,                      1,                0.69381,             0.00068997,             0.00068997,             0.00068997
                     20,                0.25545,                0.83654,                      1,                 0.7035,             0.00068855,             0.00068855,             0.00068855
                     21,                0.19448,                  0.875,                      1,                0.69216,             0.00068714,             0.00068714,             0.00068714
                     22,                 0.2926,                0.85577,                      1,                0.68468,             0.00068573,             0.00068573,             0.00068573
                     23,                0.22903,                0.86538,                      1,                0.67502,             0.00068431,             0.00068431,             0.00068431
                     24,                0.22694,                  0.875,                      1,                0.66647,              0.0006829,              0.0006829,              0.0006829
                     25,                0.23632,                  0.875,                      1,                0.67624,             0.00068148,             0.00068148,             0.00068148
                     26,                0.20758,                  0.875,                      1,                0.67907,             0.00068007,             0.00068007,             0.00068007
                     27,                 0.1955,                  0.875,                      1,                0.68223,             0.00067866,             0.00067866,             0.00067866
                     28,                0.18416,                0.84615,                      1,                0.68956,             0.00067724,             0.00067724,             0.00067724
                     29,                0.19731,                0.85577,                      1,                0.68054,             0.00067583,             0.00067583,             0.00067583
                     30,                0.19665,                0.86538,                      1,                0.68181,             0.00067442,             0.00067442,             0.00067442
                     31,                0.26566,                0.86538,                      1,                0.69409,               0.000673,               0.000673,               0.000673
                     32,                0.19131,                  0.875,                      1,                0.68792,             0.00067159,             0.00067159,             0.00067159
                     33,                0.19209,                  0.875,                      1,                0.67839,             0.00067017,             0.00067017,             0.00067017
                     34,                0.20644,                  0.875,                      1,                0.68017,             0.00066876,             0.00066876,             0.00066876
                     35,                0.23421,                0.89423,                      1,                0.67488,             0.00066735,             0.00066735,             0.00066735
                     36,                0.19974,                0.88462,                      1,                0.67068,             0.00066593,             0.00066593,             0.00066593
                     37,                0.18301,                0.83654,                      1,                0.69881,             0.00066452,             0.00066452,             0.00066452
                     38,                0.19651,                0.83654,                      1,                0.72139,             0.00066311,             0.00066311,             0.00066311
                     39,                0.22911,                0.81731,                      1,                0.72061,             0.00066169,             0.00066169,             0.00066169
                     40,                0.24173,                0.82692,                      1,                0.72485,             0.00066028,             0.00066028,             0.00066028
                     41,                0.24101,                  0.875,                      1,                0.69064,             0.00065886,             0.00065886,             0.00065886
                     42,                0.21042,                0.85577,                      1,                0.69056,             0.00065745,             0.00065745,             0.00065745
                     43,                0.19327,                  0.875,                      1,                0.68956,             0.00065604,             0.00065604,             0.00065604
                     44,                 0.2391,                0.85577,                      1,                0.70194,             0.00065462,             0.00065462,             0.00065462
                     45,                0.17179,                0.81731,                      1,                0.71871,             0.00065321,             0.00065321,             0.00065321
                     46,                 0.1788,                0.83654,                      1,                0.70758,              0.0006518,              0.0006518,              0.0006518
                     47,                0.15938,                0.85577,                      1,                0.69737,             0.00065038,             0.00065038,             0.00065038
                     48,                0.17667,                0.83654,                      1,                0.69798,             0.00064897,             0.00064897,             0.00064897
                     49,                0.20324,                0.83654,                      1,                 0.6986,             0.00064756,             0.00064756,             0.00064756
