                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.20405,                0.81731,                      1,                0.71484,             0.00062211,             0.00062211,             0.00062211
                     68,                0.16473,                0.83654,                      1,                0.71124,             0.00062069,             0.00062069,             0.00062069
                     69,                 0.1583,                0.80769,                      1,                0.71463,             0.00061928,             0.00061928,             0.00061928
                     70,                 0.1696,                0.84615,                      1,                0.70786,             0.00061787,             0.00061787,             0.00061787
                     71,                0.17702,                0.86538,                      1,                0.68903,             0.00061645,             0.00061645,             0.00061645
                     72,                0.17393,                0.84615,                      1,                0.70354,             0.00061504,             0.00061504,             0.00061504
                     73,                0.15502,                0.85577,                      1,                0.70525,             0.00061363,             0.00061363,             0.00061363
                     74,                0.13808,                0.86538,                      1,                0.70152,             0.00061221,             0.00061221,             0.00061221
                     75,                0.15494,                  0.875,                      1,                0.69579,              0.0006108,              0.0006108,              0.0006108
                     76,                0.13895,                0.84615,                      1,                0.70647,             0.00060938,             0.00060938,             0.00060938
                     77,                0.15091,                0.86538,                      1,                 0.7076,             0.00060797,             0.00060797,             0.00060797
                     78,                0.12284,                0.84615,                      1,                0.70983,             0.00060656,             0.00060656,             0.00060656
                     79,                0.15951,                0.83654,                      1,                0.70794,             0.00060514,             0.00060514,             0.00060514
                     80,                0.14019,                0.83654,                      1,                0.71348,             0.00060373,             0.00060373,             0.00060373
                     81,                0.19433,                0.82692,                      1,                0.72929,             0.00060232,             0.00060232,             0.00060232
                     82,                0.15694,                0.83654,                      1,                0.72444,              0.0006009,              0.0006009,              0.0006009
                     83,                0.12007,                0.83654,                      1,                 0.7255,             0.00059949,             0.00059949,             0.00059949
                     84,                0.15862,                0.82692,                      1,                0.72315,             0.00059807,             0.00059807,             0.00059807
                     85,                  0.161,                0.81731,                      1,                0.73057,             0.00059666,             0.00059666,             0.00059666
                     86,                0.11771,                0.81731,                      1,                0.72996,             0.00059525,             0.00059525,             0.00059525
                     87,                0.14733,                0.82692,                      1,                0.72733,             0.00059383,             0.00059383,             0.00059383
                     88,                0.19035,                0.83654,                      1,                0.73102,             0.00059242,             0.00059242,             0.00059242
                     89,                0.16375,                0.80769,                      1,                0.74211,             0.00059101,             0.00059101,             0.00059101
                     90,                0.20041,                0.78846,                      1,                0.75576,             0.00058959,             0.00058959,             0.00058959
                     91,                0.17677,                0.76923,                      1,                0.77454,             0.00058818,             0.00058818,             0.00058818
                     92,                0.18775,                0.76923,                      1,                0.78306,             0.00058677,             0.00058677,             0.00058677
                     93,                0.17355,                0.76923,                      1,                0.77397,             0.00058535,             0.00058535,             0.00058535
                     94,                0.13796,                0.76923,                      1,                0.75429,             0.00058394,             0.00058394,             0.00058394
                     95,                0.13021,                0.78846,                      1,                0.75585,             0.00058252,             0.00058252,             0.00058252
                     96,                 0.1139,                0.79808,                      1,                 0.7412,             0.00058111,             0.00058111,             0.00058111
                     97,                0.20756,                0.78846,                      1,                0.74191,              0.0005797,              0.0005797,              0.0005797
                     98,                0.16033,                0.77885,                      1,                0.74978,             0.00057828,             0.00057828,             0.00057828
                     99,                0.17232,                0.76923,                      1,                0.75732,             0.00057687,             0.00057687,             0.00057687
                    100,                0.15122,                0.76923,                      1,                0.76528,             0.00057546,             0.00057546,             0.00057546
                    101,                0.11185,                0.78846,                      1,                0.75777,             0.00057404,             0.00057404,             0.00057404
                    102,                0.13052,                0.80769,                      1,                0.74714,             0.00057263,             0.00057263,             0.00057263
                    103,                0.13247,                0.80769,                      1,                0.73215,             0.00057121,             0.00057121,             0.00057121
